epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.3252902328968048,0.0989583358168602,0.39684611628825855,0.5645482439046415,0.3274617642292654,0.532478000746671
2,0.17756305634975433,0.1251622885465622,0.4466624331980933,0.6859688109222618,0.34731090706369144,0.5781188985516911
3,0.14404186606407166,0.2838812470436096,0.4632729802449799,0.7509658708844079,0.37890262850123535,0.6186662763027564
4,0.11009212583303452,0.03638209030032158,0.48310303511707237,0.7843869539114026,0.3422068018006002,0.5531213423931945
5,0.15387223660945892,0.22135263681411743,0.49749413691991096,0.8316188352573988,0.4130786456720126,0.6379875062247561
6,0.12374293059110641,0.18161612749099731,0.5332362383603301,0.8558197040497832,0.4220648559177964,0.6370811333977624
7,0.12367653846740723,0.0855485051870346,0.542498395686496,0.8694739564047497,0.4682800864533369,0.6642873751421671
8,0.1285327672958374,0.3098095655441284,0.5348602808363327,0.8784740051378556,0.4258647803205464,0.6132508035759766
9,0.08865900337696075,0.1320965439081192,0.5477647389590383,0.8825665858784232,0.4680370731596177,0.6892908151564437
10,0.07235036045312881,0.29095038771629333,0.5574615087231114,0.8908561302977199,0.459460787008848,0.6610980141316402
11,0.063687764108181,0.06323122978210449,0.5429003581674724,0.8995958227706173,0.4191480442639197,0.6573857007708693
12,0.06650073826313019,0.08985138684511185,0.5906747852843824,0.9071116097132252,0.4930088922590911,0.6952304329480308
13,0.06398335099220276,0.10387319326400757,0.5981334413422161,0.9072131193454263,0.4337625234297527,0.6366171684393327
14,0.03707249462604523,0.18765026330947876,0.5855783670846357,0.9113926750016734,0.4596621315282892,0.6694541255917273
15,0.06863412261009216,0.21012219786643982,0.6004407898338868,0.9146840556848043,0.47357725574368986,0.670267699830151
16,0.06674771010875702,0.0766037106513977,0.5919548654557808,0.918202063020545,0.45644470989020786,0.6797612364256205
17,0.06678780913352966,0.008435908704996109,0.6569986812804209,0.9197501766927314,0.388512061165901,0.6578993174506041
18,0.04787254333496094,0.2120545208454132,0.6367584327550679,0.9194381119210636,0.46304388024303433,0.678850053996087
19,0.04718296602368355,0.2730427086353302,0.6097087687864418,0.9208319538948786,0.4815707956857085,0.6664907459864872
20,0.06864602863788605,0.19948355853557587,0.6228509252603823,0.9240456419702208,0.442221311904139,0.6525650405736675
21,0.03754793480038643,0.11529731005430222,0.6543805220168449,0.9259513515021484,0.48733736442665637,0.689179852261525
22,0.07902370393276215,0.32226935029029846,0.6624448025489671,0.9267041374825977,0.4939123297823807,0.6896838984035273
23,0.04932918772101402,0.10776931047439575,0.6657977776429242,0.9289456551096249,0.47407625433205136,0.6664906010516275
24,0.0837165117263794,0.17602714896202087,0.6405837060874024,0.9280509053023718,0.48200757241816494,0.6755428208936243
25,0.06344877183437347,0.043925050646066666,0.6343281019864235,0.9279146795055345,0.39826342452789815,0.654935582168444
26,0.05415377765893936,0.095791757106781,0.639912309383172,0.9294639734304821,0.4129691116005776,0.6446254145324962
27,0.039717309176921844,0.21494817733764648,0.6823944111797278,0.9308412618472811,0.45238484788219835,0.6839130560316679
28,0.05246812105178833,0.18348994851112366,0.7050485424882498,0.9330305898416149,0.48468286851166037,0.647408054148136
29,0.03923891484737396,0.1364164501428604,0.637906024630106,0.9339675904716991,0.466060879325257,0.6594189196286842
30,0.05592554807662964,0.19287554919719696,0.7051486758427215,0.9329750142199644,0.47436326992184547,0.6990058707099672
31,0.05139632895588875,0.22495989501476288,0.6725944580700076,0.9352648619858435,0.4477666193884334,0.6325445838576275
32,0.03561364859342575,0.17264625430107117,0.7072619801523179,0.935901729902441,0.4331714350555716,0.6356517502614442
33,0.041239313781261444,0.07812104374170303,0.7336340122154386,0.9362764861306847,0.4278615347279125,0.6654728501100418
34,0.04081513732671738,0.09613239020109177,0.7456066077391095,0.9359794846198003,0.44718220162036976,0.6383155072079968
35,0.03454867750406265,0.15442247688770294,0.7124237040037258,0.9362315468471705,0.4725364732798972,0.655851548954815
36,0.048599973320961,0.20488743484020233,0.7205962315784179,0.9375589035391924,0.4859292267889812,0.6722850591633934
37,0.051922690123319626,0.15989597141742706,0.7419574989804794,0.9379594213760477,0.4812695396715372,0.6752375901129622
38,0.030407583341002464,0.140650674700737,0.7055053068443538,0.9369530393742147,0.4476128696456239,0.6838557073419379
39,0.03163354471325874,0.2480439692735672,0.754080505238812,0.9384748621825436,0.4719598073124855,0.6659321281779859
40,0.04703722521662712,0.11711295694112778,0.7543066103502644,0.9393317335037773,0.4916652449095045,0.6583159217495184
41,0.03376176953315735,0.13325990736484528,0.756585863451779,0.9395179363206086,0.4776388655726709,0.6595296480739373
42,0.03765396401286125,0.11611508578062057,0.7557699853334208,0.9398063222740746,0.45610570147189716,0.6586145288451204
43,0.0379970520734787,0.2008257806301117,0.7466580793887452,0.940767147616096,0.4616197432874911,0.6393430095218787
44,0.05981152504682541,0.11798986047506332,0.773498753526597,0.9408088495951159,0.47463193643684337,0.6666498442500768
45,0.030732305720448494,0.03481908142566681,0.7679841328263367,0.9406015415812554,0.4168539740957941,0.6699470604299412
46,0.04055366292595863,0.10767931491136551,0.7423068000499254,0.9397722329703535,0.46650304083370836,0.6633951943823178
47,0.044202178716659546,0.10677667707204819,0.7662237867488415,0.9407598389748454,0.47739348416510224,0.6416295063868974
48,0.023203792050480843,0.18593639135360718,0.7534548095856292,0.9403366331600325,0.47380611741042533,0.6510445601881268
49,0.018635982647538185,0.21632744371891022,0.7688773546970386,0.9415801620011031,0.47061311296282304,0.614405167553489
50,0.03961920365691185,0.13521704077720642,0.7785533423290982,0.9415265852725344,0.4699013487163648,0.6589525553363667
