epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.36820483207702637,0.21932409703731537,0.3817750061958797,0.5506694394108724,0.3080653727934623,0.5531127980227647
2,0.1559039056301117,0.22570820152759552,0.4308186312079968,0.6628317987696549,0.35486342746990657,0.5502421056525092
3,0.18738827109336853,0.11666028201580048,0.4655111934936519,0.7389274566889921,0.42410410756614025,0.661621415656472
4,0.1609630137681961,0.31057116389274597,0.4988890134246238,0.806352435543441,0.420555147142396,0.6124766115568369
5,0.13217923045158386,0.15907922387123108,0.5163862070204563,0.8271773115619652,0.37771079262365853,0.624514120384348
6,0.0963582769036293,0.24230238795280457,0.5278501102020476,0.8574631705905738,0.39787893795943713,0.6145934167971814
7,0.12494169920682907,0.1261037439107895,0.5440712929230727,0.875894281971911,0.4069264893402747,0.6594170292447653
8,0.10383054614067078,0.140677347779274,0.5390653064694113,0.8841409277943884,0.4456840327986056,0.6407462919792122
9,0.0773070827126503,0.12706215679645538,0.5530285440468001,0.895523952579309,0.42180002967477487,0.6429605689925583
10,0.10040352493524551,0.10327807068824768,0.5913424916594334,0.90188691877353,0.39500984229983566,0.6234264575221865
11,0.08549174666404724,0.37176477909088135,0.5550051747458238,0.9066908229431604,0.45949753168277946,0.6739910346073277
12,0.044882409274578094,0.11272595077753067,0.6041503054270099,0.9123298699355077,0.44937908591633097,0.6488384690076235
13,0.07283206284046173,0.2004052698612213,0.6206936361765675,0.9165464618551834,0.4708689686221523,0.6548818592372094
14,0.08200157433748245,0.2666410207748413,0.5910309824186732,0.9150371822566384,0.41060918973260224,0.6124417361806712
15,0.08119121193885803,0.31644734740257263,0.5959734283294105,0.9157299404915514,0.4238366322953097,0.6388312013807239
16,0.08877773582935333,0.14199098944664001,0.5988422467459741,0.915936181712454,0.45757591572183015,0.6579992833306133
17,0.06332677602767944,0.35128816962242126,0.6098001271229203,0.919834757885831,0.43506909334685545,0.6263894420172671
18,0.049951888620853424,0.17475052177906036,0.6447095767862385,0.9209622919813656,0.466961909230821,0.64455382811125
19,0.048677198588848114,0.351371169090271,0.6136153747484345,0.9222837298435536,0.43574253405187197,0.6285424851973783
20,0.04457325115799904,0.13604091107845306,0.6392666449822766,0.9260490466306278,0.44708098976539484,0.6756948770732448
21,0.05957662686705589,0.1056499034166336,0.6401359290372611,0.9278542888775985,0.41870859697075274,0.6608577063831652
22,0.04759654775261879,0.14868557453155518,0.6634593129066204,0.9283962259731988,0.4762347873604746,0.6628835029587982
23,0.07642651349306107,0.15814362466335297,0.6702097581537199,0.9300172529273469,0.4599504282576441,0.6717872508382179
24,0.061673860996961594,0.240526482462883,0.6814208297935379,0.9313531994496353,0.44926304180530807,0.654056742887888
25,0.03567175194621086,0.1865822970867157,0.6621674878386774,0.9314967319865983,0.44798228488618513,0.6460349926913957
26,0.03978925943374634,0.11957013607025146,0.662662486123201,0.9330831049737867,0.4708191156984242,0.645459820799756
27,0.035155247896909714,0.3904930055141449,0.6725917523242826,0.9306183695767233,0.47637399556925847,0.659849890165307
28,0.07248251885175705,0.10174110531806946,0.7101091312990787,0.9335507758686404,0.447201976970363,0.6678857842870537
29,0.058383818715810776,0.08760692179203033,0.7296777069704506,0.9351289762801123,0.46855906619571625,0.67377017719862
30,0.04300732538104057,0.15309368073940277,0.7205395351057463,0.9370822413369847,0.4794938301803504,0.6725903573322713
31,0.031970296055078506,0.11309663206338882,0.7298321646638566,0.9380822315619207,0.4803593487939731,0.6894752798131839
32,0.03585182875394821,0.2314291149377823,0.7115850781788603,0.9368550067270117,0.47037396454833846,0.6970874888224577
33,0.03555385023355484,0.031972941011190414,0.7420214862959778,0.9365827101873986,0.4031184163537658,0.6794850275266219
34,0.03610885515809059,0.19062383472919464,0.7227747918740829,0.938566518982731,0.4736121405048634,0.6877771598857128
35,0.01743764616549015,0.3406714200973511,0.7260768322144718,0.9386517658981879,0.45621318155677143,0.6352687878752028
36,0.030075784772634506,0.16426301002502441,0.7617629406924322,0.9392390492698113,0.48172282766139946,0.6724818889782108
37,0.04245775565505028,0.171636164188385,0.7333255597022137,0.9366740414813769,0.4682982834784201,0.663854488043365
38,0.018760275095701218,0.21207574009895325,0.7349192682722725,0.9396288065502667,0.44130367181635993,0.665428192531472
39,0.039267685264348984,0.1174008771777153,0.7379198288715965,0.9392356544173888,0.47963902870984976,0.6629749453497605
40,0.05547025799751282,0.06690476834774017,0.7630201299735657,0.9396925941473487,0.4264070371286228,0.6570458615402254
41,0.025263676419854164,0.1652737557888031,0.7610015221467742,0.9412332511646937,0.48297764680294913,0.6782703786955057
42,0.06934314966201782,0.3707835376262665,0.766250041139707,0.9399698263236989,0.4800699139428186,0.6450573316811946
43,0.029002917930483818,0.05123709514737129,0.773799811848199,0.9411025982361918,0.43325127797807306,0.6742276300521844
44,0.049907054752111435,0.23583723604679108,0.7543356840464795,0.9406414293743361,0.47161369710909984,0.6810713688094229
45,0.025803787633776665,0.059550490230321884,0.7613909878438921,0.9416291111613415,0.41838663671305465,0.6657266136833525
